SimulationID,Wslot,Wtaper,Ltapper,Wbalun,Wstrip,Lstrip_offset,S11_Raw_File,S11_Clean_File,Gain_Raw_File,Gain_Clean_File,MinS11_dB,MinS11_Freq_GHz,PeakGain_dB,PeakGain_Theta_deg,Timestamp,Success,ErrorMessage
SIM001,0.0174927827118198,1.68730407972729,3.65724318246274,0.379579377565984,0.121362845824788,0.345375752167451,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM001_S11.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM001_S11_clean.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM001_Gain.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM001_Gain_clean.csv,-38.7142573337668,14.11,7.64378835707545,92,2026-04-13 15:57:47,1,
SIM002,0.022602419812598,1.69971668778687,3.8506839929208,0.302770519498616,0.152185225416442,0.39192655200133,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM002_S11.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM002_S11_clean.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM002_Gain.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM002_Gain_clean.csv,-14.5592986189737,11.835,7.84385516915605,90,2026-04-13 16:00:16,1,
SIM003,0.0123263039101461,2.05365686481267,3.82337639141316,0.399167093115324,0.15157381381397,0.353900453067545,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM003_S11.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM003_S11_clean.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM003_Gain.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM003_Gain_clean.csv,-19.6578974933219,13.98,7.84653873298635,90,2026-04-13 16:02:45,1,
SIM004,0.0156018706337652,1.89598087545156,3.49682422820659,0.308973696070308,0.146050548707392,0.347018627741014,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM004_S11.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM004_S11_clean.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM004_Gain.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM004_Gain_clean.csv,-38.3705354409459,14.76,7.52600064503736,90,2026-04-13 16:04:52,1,
SIM005,0.0338145220133246,1.86344749301566,3.71857073667971,0.332655234523145,0.123844900341032,0.266087219671226,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM005_S11.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM005_S11_clean.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM005_Gain.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM005_Gain_clean.csv,-35.0586383354452,16.58,7.82411922623969,88,2026-04-13 16:06:16,1,
SIM006,0.0200827195119657,2.02179321077568,4.07482440475981,0.339246877593814,0.143853312194053,0.362384297537509,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM006_S11.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM006_S11_clean.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM006_Gain.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM006_Gain_clean.csv,-24.2453468631553,13.785,8.14719559494139,90,2026-04-13 16:08:30,1,
SIM007,0.0291885836127277,1.96620645653734,4.03209352663574,0.400041768410599,0.146540194065468,0.408402475027286,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM007_S11.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM007_S11_clean.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM007_Gain.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM007_Gain_clean.csv,-15.237918053153,11.575,8.13913891718769,90,2026-04-13 16:11:04,1,
SIM008,0.0349530801295549,1.73506767995971,3.70853955158341,0.290185069156456,0.132542632615981,0.372437295831855,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM008_S11.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM008_S11_clean.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM008_Gain.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM008_Gain_clean.csv,-17.1833764572473,16.775,7.80811174598148,90,2026-04-13 16:12:10,1,
SIM009,0.0325767007748901,1.79166814020438,3.9149251505376,0.346181092743605,0.150832571483573,0.386102166046212,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM009_S11.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM009_S11_clean.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM009_Gain.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM009_Gain_clean.csv,-16.776426800622,20.285,7.97720759385645,90,2026-04-13 16:14:02,1,
SIM010,0.0396607676018222,1.9637384773378,4.01113548850851,0.333751294248122,0.127448571997946,0.299935339158871,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM010_S11.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM010_S11_clean.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM010_Gain.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM010_Gain_clean.csv,-32.226270430652,18.075,8.13497958898393,88,2026-04-13 16:15:36,1,
SIM011,0.0255401166834642,1.82923390690183,4.09350638147073,0.299326602459331,0.14089676759703,0.360309357068607,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM011_S11.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM011_S11_clean.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM011_Gain.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM011_Gain_clean.csv,-22.4083956208697,13.655,8.1378104828743,90,2026-04-13 16:17:19,1,
SIM012,0.0150386259975455,2.03468992388151,3.67328227225235,0.34434679343777,0.149816591983756,0.394179490906248,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM012_S11.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM012_S11_clean.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM012_Gain.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM012_Gain_clean.csv,-15.4813543819028,14.825,7.72341248088346,92,2026-04-13 16:20:00,1,
SIM013,0.0256738092485432,1.75968258692967,3.42428943498308,0.3210719385916,0.122752086029004,0.295917571961891,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM013_S11.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM013_S11_clean.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM013_Gain.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM013_Gain_clean.csv,-33.7579081148222,13.2,7.50311196380914,90,2026-04-13 16:22:12,1,
SIM014,0.0178568786695456,1.94361814724357,3.44601432045036,0.308031749352163,0.133486579332865,0.343321376155368,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM014_S11.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM014_S11_clean.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM014_Gain.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM014_Gain_clean.csv,-38.2644834728738,12.745,7.52529459262466,90,2026-04-13 16:24:18,1,
SIM015,0.0363325913074778,1.82218568041512,3.94093300580838,0.285087246956548,0.126760433328022,0.439759324186833,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM015_S11.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM015_S11_clean.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM015_Gain.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM015_Gain_clean.csv,-12.9633398831961,8,8.01456267892389,90,2026-04-13 16:27:17,1,
SIM016,0.0176037239602228,1.70614145453511,3.51162928067508,0.350608654841686,0.150291283285406,0.388972778612658,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM016_S11.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM016_S11_clean.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM016_Gain.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM016_Gain_clean.csv,-23.005313199371,14.76,7.51163614800334,90,2026-04-13 16:29:39,1,
SIM017,0.0393678575296353,1.92446731246488,3.43892426212435,0.349373955134323,0.151160979968483,0.411716541808416,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM017_S11.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM017_S11_clean.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM017_Gain.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM017_Gain_clean.csv,-13.4420395652118,13.005,7.5773573509249,90,2026-04-13 16:32:42,1,
SIM018,0.0253792915564163,1.83664497417576,3.50694254971712,0.338372914278378,0.149091758383658,0.310437877618129,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM018_S11.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM018_S11_clean.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM018_Gain.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM018_Gain_clean.csv,-39.3906562680962,15.605,7.57825733955013,90,2026-04-13 16:34:38,1,
SIM019,0.0328490220717543,1.93121111132925,3.57204248068859,0.397641072677537,0.147057413123315,0.355375553784642,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM019_S11.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM019_S11_clean.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM019_Gain.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM019_Gain_clean.csv,-24.7753776835544,15.215,7.68626301772317,90,2026-04-13 16:36:20,1,
SIM020,0.0210638955498488,1.7641896218146,3.78010956728823,0.397522563555048,0.119134684205382,0.401896573412761,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM020_S11.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM020_S11_clean.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM020_Gain.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM020_Gain_clean.csv,-27.6857159939104,11.575,7.76991277455231,90,2026-04-13 16:38:42,1,
SIM021,0.0218167734060099,2.02223116748433,3.60618759406217,0.41326436554418,0.118567861009195,0.325115558541062,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM021_S11.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM021_S11_clean.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM021_Gain.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM021_Gain_clean.csv,-39.7461251809768,12.745,7.69634780618647,90,2026-04-13 16:40:32,1,
SIM022,0.0182265990741045,1.83440543104422,3.66202745872241,0.393795760074292,0.147461768386,0.364055361040663,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM022_S11.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM022_S11_clean.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM022_Gain.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM022_Gain_clean.csv,-21.1488170557633,14.305,7.6621259442187,90,2026-04-13 16:42:23,1,
SIM023,0.0311959175088871,1.73695873271907,3.81523915510396,0.355992432721401,0.139882905461641,0.274467939053137,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM023_S11.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM023_S11_clean.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM023_Gain.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM023_Gain_clean.csv,-42.9512835769618,16.385,7.87311660805688,92,2026-04-13 16:44:08,1,
SIM024,0.0236905273532856,1.88222165445671,3.56351397842803,0.353181687744909,0.120020555633696,0.271033205779965,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM024_S11.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM024_S11_clean.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM024_Gain.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM024_Gain_clean.csv,-26.2393974629893,13.2,7.63222041913447,90,2026-04-13 16:46:28,1,
SIM025,0.0216395376458631,1.99109084353397,3.51951651139546,0.347690176772526,0.142676200386755,0.328231937572049,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM025_S11.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM025_S11_clean.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM025_Gain.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM025_Gain_clean.csv,-39.3536091936375,14.695,7.60486181735021,88,2026-04-13 16:47:50,1,
SIM026,0.0264641282969745,1.98850608820665,4.05049025396246,0.405647485130086,0.123735249804494,0.431231172503223,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM026_S11.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM026_S11_clean.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM026_Gain.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM026_Gain_clean.csv,-15.5274010381966,9.56,8.13456460737995,90,2026-04-13 16:52:02,1,
SIM027,0.0250653224076766,1.86513523370752,3.80422175009806,0.389151149782999,0.11876891997773,0.303554178486726,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM027_S11.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM027_S11_clean.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM027_Gain.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM027_Gain_clean.csv,-34.8268524374153,12.355,7.86424748681704,90,2026-04-13 16:53:45,1,
SIM028,0.0233094886384705,1.71908713450023,3.58680142706558,0.314771344451485,0.123067800604779,0.285721995793412,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM028_S11.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM028_S11_clean.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM028_Gain.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM028_Gain_clean.csv,-30.2795105004444,12.94,7.61745171124646,90,2026-04-13 16:56:04,1,
SIM029,0.0354439204187551,1.71012052702966,3.92457863643928,0.394306670825609,0.149201454922841,0.402171114220117,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM029_S11.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM029_S11_clean.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM029_Gain.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM029_Gain_clean.csv,-13.2639647522735,11.64,7.98476848833137,90,2026-04-13 16:57:57,1,
SIM030,0.0329985740518858,2.0490967484001,3.7330902165589,0.326662638133048,0.146379300761557,0.381259705226629,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM030_S11.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM030_S11_clean.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM030_Gain.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM030_Gain_clean.csv,-19.2170063508128,16.97,7.84766140030516,90,2026-04-13 16:59:39,1,
SIM031,0.029948662075625,1.87770706621802,3.53399604072813,0.316652480308673,0.143438159635776,0.384265683134704,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM031_S11.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM031_S11_clean.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM031_Gain.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM031_Gain_clean.csv,-19.1504763102545,15.15,7.62192897369594,90,2026-04-13 17:02:15,1,
SIM032,0.0163578076527003,1.9286869373161,3.54886330889484,0.302247909210444,0.147235045082967,0.258741103342307,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM032_S11.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM032_S11_clean.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM032_Gain.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM032_Gain_clean.csv,-32.1548597125863,13.33,7.57887975355922,90,2026-04-13 17:04:10,1,
SIM033,0.0381379750904246,1.78844764936735,3.7715019341069,0.2835603158028,0.12736641218485,0.37150621579353,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM033_S11.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM033_S11_clean.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM033_Gain.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM033_Gain_clean.csv,-17.8495741978951,19.245,7.84610656296356,90,2026-04-13 17:05:36,1,
SIM034,0.0212585637084847,2.02679137505278,3.41011436608746,0.315336973733448,0.116292602739861,0.385989136435851,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM034_S11.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM034_S11_clean.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM034_Gain.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM034_Gain_clean.csv,-21.6961321873825,10.665,7.53666946215725,90,2026-04-13 17:08:44,1,
SIM035,0.0322688782909076,1.87355060139844,4.00424427616883,0.416509650397118,0.152935759028375,0.308061436485893,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM035_S11.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM035_S11_clean.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM035_Gain.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM035_Gain_clean.csv,-15.8381436228327,17.685,8.09233600957211,90,2026-04-13 17:10:11,1,
SIM036,0.0297913001710697,1.71332442107125,3.78599181481751,0.373571360719561,0.131904713378239,0.275110172961814,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM036_S11.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM036_S11_clean.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM036_Gain.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM036_Gain_clean.csv,-47.011996227752,16.255,7.81426996478711,90,2026-04-13 17:11:46,1,
SIM037,0.0279741302573006,1.79841859822001,3.9897163532792,0.329770510718392,0.135647944806726,0.4497606524339,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM037_S11.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM037_S11_clean.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM037_Gain.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM037_Gain_clean.csv,-15.9079815196798,9.235,7.99992912946607,90,2026-04-13 17:14:18,1,
SIM038,0.0198710021182919,1.98192158354451,3.91084030013616,0.368047447186661,0.129141474871709,0.395832079894695,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM038_S11.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM038_S11_clean.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM038_Gain.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM038_Gain_clean.csv,-24.170181798753,11.575,7.99204015450478,90,2026-04-13 17:16:10,1,
SIM039,0.031092947672823,1.90188899670868,3.63747909938011,0.376454625175182,0.122822559241689,0.314560747716229,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM039_S11.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM039_S11_clean.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM039_Gain.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM039_Gain_clean.csv,-36.1887843173154,14.89,7.74968649365812,90,2026-04-13 17:17:50,1,
